6.78198,5.60317,0.52277
7.00327,3.52950,0.52304
12.53884,4.29364,0.51796
18.27836,2.49734,0.49708
24.80579,4.12080,0.54134
31.07888,4.03322,0.56623
35.71000,3.27788,0.50962
41.43956,6.17991,0.55086
43.38921,5.31190,0.50671
49.97748,5.42554,0.43917
2.38377,7.27922,0.54624
11.96303,10.88422,0.46300
15.30151,7.25706,0.57595
18.31864,8.57995,0.57860
25.96653,10.12796,0.49688
29.43761,8.84682,0.52425
34.93175,11.71264,0.54299
39.03436,10.75509,0.45795
44.28129,9.62120,0.46680
51.85830,11.31948,0.58589
5.97836,13.00157,0.40732
8.47928,14.81799,0.59121
14.33526,12.97418,0.43410
20.95681,13.01195,0.40179
26.69320,15.12144,0.45468
28.40187,14.56460,0.41934
33.13048,12.30759,0.59122
38.22628,16.43758,0.53888
45.51048,13.75221,0.45623
50.10931,16.80766,0.49332
4.21066,20.43638,0.44893
8.88682,21.38482,0.40655
14.76007,18.90415,0.54134
19.83164,17.28732,0.55210
25.30924,18.27673,0.54303
31.51937,21.32872,0.59291
33.77373,20.61455,0.52553
41.20551,18.40178,0.41370
45.11447,17.64728,0.43333
51.04535,19.37710,0.59120
3.25371,25.08927,0.58024
9.79973,25.79322,0.56394
16.95326,26.72882,0.51361
20.57524,22.03343,0.49557
23.97057,26.81925,0.40423
28.58894,26.43793,0.58990
32.45924,22.62740,0.55156
39.14699,22.98602,0.52698
43.55369,23.77163,0.56108
51.55406,25.83410,0.47755
3.85400,31.55602,0.59719
8.51183,27.75091,0.52959
16.43473,30.38376,0.59256
17.50073,30.48200,0.52816
23.17648,30.59649,0.50031
31.62385,28.35570,0.57550
32.16408,28.21311,0.49039
39.05242,30.37831,0.52180
46.76336,29.89266,0.43911
48.55945,30.24320,0.47391
5.44725,33.31540,0.48864
11.37709,36.79684,0.54996
13.62546,34.25820,0.44030
20.52556,36.62485,0.40680
24.02798,36.32609,0.45173
28.79717,33.75268,0.48159
32.02999,33.61672,0.43080
38.94311,34.12823,0.41742
43.50705,35.07129,0.47359
47.67843,32.19162,0.40505
4.93052,39.02753,0.57848
9.00303,38.32814,0.48967
12.38694,39.50701,0.54414
20.36585,41.29245,0.42548
25.25447,38.00733,0.49665
29.46335,38.95762,0.44480
33.12535,41.26922,0.57831
38.13004,38.79673,0.53725
44.48415,37.06874,0.48706
51.16108,37.72190,0.46599
3.60058,46.16587,0.47545
9.21588,43.00077,0.56970
13.47818,42.11097,0.51155
19.65312,46.56141,0.54952
22.05955,42.47276,0.57885
28.01033,42.01989,0.50231
35.72241,44.11874,0.40631
39.13400,43.76781,0.43123
45.58510,45.66421,0.46036
49.27358,42.32662,0.46882
5.05137,49.22791,0.42532
7.48889,50.07477,0.54569
12.78311,49.29923,0.52958
21.20409,48.16676,0.42605
26.12831,51.22474,0.41549
28.82705,50.29019,0.55879
34.04787,51.30682,0.48793
38.22785,49.67277,0.50117
43.33234,51.94112,0.48884
51.01627,49.31165,0.45693
